"AreaName","State","edu.total","edu.males","edu.females","m_no_school","m_hs","m_bs","m_ms","m_phd","f_no_school","f_hs","f_bs","f_ms","f_phd","year","cause","amt_death","AADR"
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Kidney Disease",1032,22.79
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2012,"All Causes",49301,926.7
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Suicide",679,13.95
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Suicide",514,11.45
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Diabetes",1302,24.96
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Cancer",9698,208.33
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Parkinsons disease",342,6.94
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"All Causes",44806,1009.3
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2011,"Pneumonitis due to solids and liquids",305,5.98
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2012,"Essential hypertension and hypertensive renal disease",528,9.83
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2011,"Suicide",654,13.21
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2013,"Septicemia",965,17.48
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Homicide",369,8.25
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Alzheimers disease",1385,31.42
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2011,"Parkinsons disease",374,7.39
